fb_internal_id,fb_published_date,fb_title,fb_link,fb_description,likes,shares,comments,consumptions
301552756599088_1315209638566723,2017-03-28 21:56:03+02,"Enamórate de ti y de la vida, después hazlo de quien quieras",http://lamenteesmaravillosa.com/enamorate-de-ti-y-de-la-vida-despues-hazlo-de-quien-quieras/,"Si el amor fuera un árbol, las raíces serían tu amor propio. Cuanto más te quieras, más frutas dará tu amor a los demás y más sostenible será en el tiempo. Walter Riso",9440,5264,73,15705
301552756599088_1314836031937417,2017-03-28 23:59:00+02,Sabiduría es también practicar el "desapego" - La Mente es Maravillosa,https://lamenteesmaravillosa.com/sabiduria-tambien-practicar-desapego/,"El desapego no es falta de interés, sino el arte de practicar la distancia emocional de ciertas personas, cosas o circunstancias, que no nos aportan nada.",14417,9910,122,35461
301552756599088_1314941931926827,2017-03-29 02:00:00+02,Aprende a disculparte de una manera eficaz - La Mente es Maravillosa,https://lamenteesmaravillosa.com/aprende-disculparte-una-manera-eficaz/,"Una disculpa, para que sea eficaz, debe partir de la sinceridad, la humildad y la capacidad para entender que una equivocación también ayuda a crecer.",2243,1161,9,7432
301552756599088_1315859185168435,2017-03-29 14:30:00+02,Cómo incentivar la motivación para mejorar el rendimiento escolar - La Mente es Maravillosa,https://lamenteesmaravillosa.com/motivacion-para-mejorar-el-rendimiento-escolar/,Aprende en esta entrada de La Mente es Maravillosa cómo incentivar la motivación para mejorar el rendimiento escolar de los niños,449,341,4,2643
301552756599088_1315867958500891,2017-03-29 16:30:15+02,¿Qué papel juega la sociedad en el desarrollo del miedo? - La Mente es Maravillosa,https://lamenteesmaravillosa.com/papel-juega-la-sociedad-desarrollo-del-miedo/,"Descubre cómo las variables socioculturales, el contexto familiar y las pautas de crianza juegan su papel en el desarrollo del miedo.",220,140,5,1271
301552756599088_1315999481821072,2017-03-29 18:32:18+02,Cuando las amistades nos decepcionan,https://lamenteesmaravillosa.com/cuando-las-amistades-nos-decepcionan/,"Las amistades también caducan, se apagan como la luz de una luciérnaga cuando es descubierta, como el primer viento frío que trae el otoño tras el verano...",6907,3883,107,22153
301552756599088_1316058498481837,2017-03-29 20:34:15+02,La persona que habla todo el rato se priva del placer de escuchar - La Mente es Maravillosa,https://lamenteesmaravillosa.com/la-cantidad-de-palabras-no-te-hace-mejor-conversador/,"Todos conocemos a esa persona que habla por los codos. Estar con ella es como llevar la radio del coche encendida: cuentan, pero difícilmente escuchan...",1285,412,52,3708
301552756599088_1316093375145016,2017-03-29 22:02:25+02,9 vídeos para educar en emociones - La Mente Es Maravillosa,http://lamenteesmaravillosa.com/9-videos-para-educar-emociones/,Educar en emociones es una labor fundamental de padres y educadores para generar niños sanos y fuertes emocionalmente. Estos cuentos te ayudarán.,3002,2855,24,10282
301552756599088_1316146445139709,2017-03-30 00:14:25+02,Cuantas cosas perdemos por miedo a perder,https://lamenteesmaravillosa.com/cuantas-cosas-perdemos-por-miedo-a-perder/,"Quizás perdiste la posibilidad de realizar tu sueño, conseguir el trabajo que querías o a la persona con la que querías compartir el resto de tu días... pudo más el miedo a perderlo que la posibilidad de seguir intentandolo, te quedaste en el ensayo... ¿Cuanto estás dispuesto a seguir perdiendo?",3271,1630,34,9168
301552756599088_1316148948472792,2017-03-30 02:08:13+02,"Cuando te digan ""tú no puedes"", responde ""observa cómo lo hago"" - La Mente es Maravillosa",https://lamenteesmaravillosa.com/cuando-te-digan-tu-no-puedes-responde-observa-como-lo-hago/,"Tú puedes realizar todo lo que te propongas, o por lo menos, intentarlo. Eso sí, siempre y cuando no hagas tuyas las opiniones o juicios ajenos.",5666,3162,44,7548
